"entity","code","year","nitrogen_kg_ha","region_label"
"Africa (FAO)","",1961,2.08,"Africa"
"Africa (FAO)","",1962,2.22,"Africa"
"Africa (FAO)","",1963,2.56,"Africa"
"Africa (FAO)","",1964,2.92,"Africa"
"Africa (FAO)","",1965,3.17,"Africa"
"Africa (FAO)","",1966,3.06,"Africa"
"Africa (FAO)","",1967,3.35,"Africa"
"Africa (FAO)","",1968,3.73,"Africa"
"Africa (FAO)","",1969,4.01,"Africa"
"Africa (FAO)","",1970,4.55,"Africa"
"Africa (FAO)","",1971,5.15,"Africa"
"Africa (FAO)","",1972,5.65,"Africa"
"Africa (FAO)","",1973,5.63,"Africa"
"Africa (FAO)","",1974,5.72,"Africa"
"Africa (FAO)","",1975,6.46,"Africa"
"Africa (FAO)","",1976,6.75,"Africa"
"Africa (FAO)","",1977,6.84,"Africa"
"Africa (FAO)","",1978,7.09,"Africa"
"Africa (FAO)","",1979,7.63,"Africa"
"Africa (FAO)","",1980,9.01,"Africa"
"Africa (FAO)","",1981,9.54,"Africa"
"Africa (FAO)","",1982,9.42,"Africa"
"Africa (FAO)","",1983,8.7,"Africa"
"Africa (FAO)","",1984,9.08,"Africa"
"Africa (FAO)","",1985,9.42,"Africa"
"Africa (FAO)","",1986,10.08,"Africa"
"Africa (FAO)","",1987,9.59,"Africa"
"Africa (FAO)","",1988,10.26,"Africa"
"Africa (FAO)","",1989,9.83,"Africa"
"Africa (FAO)","",1990,10.05,"Africa"
"Africa (FAO)","",1991,9.75,"Africa"
"Africa (FAO)","",1992,9.48,"Africa"
"Africa (FAO)","",1993,10.39,"Africa"
"Africa (FAO)","",1994,8.98,"Africa"
"Africa (FAO)","",1995,9.28,"Africa"
"Africa (FAO)","",1996,10.04,"Africa"
"Africa (FAO)","",1997,9.72,"Africa"
"Africa (FAO)","",1998,10.03,"Africa"
"Africa (FAO)","",1999,10.19,"Africa"
"Africa (FAO)","",2000,10.37,"Africa"
"Africa (FAO)","",2001,10.47,"Africa"
"Africa (FAO)","",2002,11.47,"Africa"
"Africa (FAO)","",2003,10.74,"Africa"
"Africa (FAO)","",2004,12.21,"Africa"
"Africa (FAO)","",2005,11.56,"Africa"
"Africa (FAO)","",2006,11.92,"Africa"
"Africa (FAO)","",2007,10.68,"Africa"
"Africa (FAO)","",2008,10.86,"Africa"
"Africa (FAO)","",2009,10.8,"Africa"
"Africa (FAO)","",2010,12.08,"Africa"
"Africa (FAO)","",2011,11.48,"Africa"
"Africa (FAO)","",2012,11.13,"Africa"
"Africa (FAO)","",2013,11.66,"Africa"
"Africa (FAO)","",2014,11.88,"Africa"
"Africa (FAO)","",2015,11.78,"Africa"
"Africa (FAO)","",2016,12.98,"Africa"
"Africa (FAO)","",2017,14.84,"Africa"
"Africa (FAO)","",2018,14.03,"Africa"
"Africa (FAO)","",2019,14.12,"Africa"
"Africa (FAO)","",2020,16.49,"Africa"
"Africa (FAO)","",2021,15.05,"Africa"
"Africa (FAO)","",2022,13.26,"Africa"
"Africa (FAO)","",2023,14.37,"Africa"
"Eastern Asia (FAO)","",1961,11.64,"Eastern Asia"
"Eastern Asia (FAO)","",1962,14.15,"Eastern Asia"
"Eastern Asia (FAO)","",1963,15.8,"Eastern Asia"
"Eastern Asia (FAO)","",1964,17.83,"Eastern Asia"
"Eastern Asia (FAO)","",1965,23.32,"Eastern Asia"
"Eastern Asia (FAO)","",1966,31.42,"Eastern Asia"
"Eastern Asia (FAO)","",1967,25.98,"Eastern Asia"
"Eastern Asia (FAO)","",1968,27.81,"Eastern Asia"
"Eastern Asia (FAO)","",1969,32.47,"Eastern Asia"
"Eastern Asia (FAO)","",1970,39.46,"Eastern Asia"
"Eastern Asia (FAO)","",1971,39.55,"Eastern Asia"
"Eastern Asia (FAO)","",1972,44.76,"Eastern Asia"
"Eastern Asia (FAO)","",1973,51.33,"Eastern Asia"
"Eastern Asia (FAO)","",1974,45.18,"Eastern Asia"
"Eastern Asia (FAO)","",1975,56.42,"Eastern Asia"
"Eastern Asia (FAO)","",1976,54.41,"Eastern Asia"
"Eastern Asia (FAO)","",1977,76.02,"Eastern Asia"
