"Entity","Code","Year","nitrogen_kg_ha"
"Australia","AUS",1961,2.17
"Australia","AUS",1962,2.51
"Australia","AUS",1963,4.06
"Australia","AUS",1964,3.5
"Australia","AUS",1965,3.6
"Australia","AUS",1966,4.05
"Australia","AUS",1967,6.01
"Australia","AUS",1968,5.85
"Australia","AUS",1969,5.69
"Australia","AUS",1970,5.94
"Australia","AUS",1971,6.56
"Australia","AUS",1972,8.7
"Australia","AUS",1973,10.27
"Australia","AUS",1974,10.69
"Australia","AUS",1975,10.93
"Australia","AUS",1976,12.77
"Australia","AUS",1977,10.61
"Australia","AUS",1978,11.52
"Australia","AUS",1979,12.64
"Australia","AUS",1980,12.43
"Australia","AUS",1981,12.23
"Australia","AUS",1982,11.84
"Australia","AUS",1983,14.13
"Australia","AUS",1984,14.13
"Australia","AUS",1985,14.48
"Australia","AUS",1986,14.35
"Australia","AUS",1987,16.53
"Australia","AUS",1988,19.25
"Australia","AUS",1989,22.38
"Australia","AUS",1990,23.08
"Australia","AUS",1991,23.94
"Australia","AUS",1992,26.78
"Australia","AUS",1993,29.42
"Australia","AUS",1994,29.09
"Australia","AUS",1995,35.46
"Australia","AUS",1996,38.24
"Australia","AUS",1997,35.75
"Australia","AUS",1998,40.8
"Australia","AUS",1999,41.86
"Australia","AUS",2000,36.01
"Australia","AUS",2001,37.95
"Australia","AUS",2002,36.37
"Australia","AUS",2003,35.61
"Australia","AUS",2004,36.46
"Australia","AUS",2005,32.05
"Australia","AUS",2006,31.44
"Australia","AUS",2007,32.44
"Australia","AUS",2008,30.83
"Australia","AUS",2009,27.8
"Australia","AUS",2010,34.03
"Australia","AUS",2011,30.83
"Australia","AUS",2012,31.64
"Australia","AUS",2013,34.79
"Australia","AUS",2014,39.13
"Australia","AUS",2015,37.34
"Australia","AUS",2016,43.67
"Australia","AUS",2017,43.27
"Australia","AUS",2018,40.57
"Australia","AUS",2019,38.93
"Australia","AUS",2020,52.43
"Australia","AUS",2021,58.63
"Australia","AUS",2022,54.67
"Australia","AUS",2023,61.68
"France","FRA",1961,26.27
"France","FRA",1962,28.82
"France","FRA",1963,33.5
"France","FRA",1964,37.18
"France","FRA",1965,38.14
"France","FRA",1966,44.08
"France","FRA",1967,51.46
"France","FRA",1968,57.96
"France","FRA",1969,57.99
"France","FRA",1970,68.48
"France","FRA",1971,73.43
"France","FRA",1972,76.71
"France","FRA",1973,88.22
"France","FRA",1974,74.09
"France","FRA",1975,81.09
"France","FRA",1976,87.18
"France","FRA",1977,87.52
"France","FRA",1978,93.82
"France","FRA",1979,101.54
"France","FRA",1980,102.37
"France","FRA",1981,104.34
"France","FRA",1982,103.9
"France","FRA",1983,109.74
"France","FRA",1984,109.86
"France","FRA",1985,112.63
"France","FRA",1986,119.76
"France","FRA",1987,118.27
"France","FRA",1988,123.06
"France","FRA",1989,126.48
"France","FRA",1990,118.08
"France","FRA",1991,121.45
"France","FRA",1992,101.76
"France","FRA",1993,104
"France","FRA",1994,107.73
"France","FRA",1995,111.25
"France","FRA",1996,117.28
"France","FRA",1997,116.46
"France","FRA",1998,115.06
"France","FRA",1999,118.7
"France","FRA",2000,106.93
"France","FRA",2001,110.74
"France","FRA",2002,101.69
"France","FRA",2003,109.8
"France","FRA",2004,107.38
"France","FRA",2005,101.83
"France","FRA",2006,102.09
"France","FRA",2007,111.67
"France","FRA",2008,97.78
"France","FRA",2009,88.72
"France","FRA",2010,95.21
"France","FRA",2011,90.76
"France","FRA",2012,94.5
"France","FRA",2013,101.11
"France","FRA",2014,100.55
"France","FRA",2015,103.56
"France","FRA",2016,101.95
"France","FRA",2017,108.54
"France","FRA",2018,102.07
"France","FRA",2019,96.05
"France","FRA",2020,104.38
"France","FRA",2021,98.93
"France","FRA",2022,86.57
"France","FRA",2023,87.04
"Japan","JPN",1961,84.31
"Japan","JPN",1962,87.65
"Japan","JPN",1963,91.34
"Japan","JPN",1964,88.62
"Japan","JPN",1965,92.01
"Japan","JPN",1966,99.48
"Japan","JPN",1967,104.53
"Japan","JPN",1968,105.17
"Japan","JPN",1969,102.89
"Japan","JPN",1970,94.99
"Japan","JPN",1971,94.2
"Japan","JPN",1972,103.17
"Japan","JPN",1973,116.34
"Japan","JPN",1974,98.42
"Japan","JPN",1975,93.74
"Japan","JPN",1976,101.45
"Japan","JPN",1977,103.86
"Japan","JPN",1978,105.28
"Japan","JPN",1979,113.55
"Japan","JPN",1980,89.95
"Japan","JPN",1981,94.52
"Japan","JPN",1982,100.7
"Japan","JPN",1983,103.64
"Japan","JPN",1984,103.37
"Japan","JPN",1985,101.13
"Japan","JPN",1986,103.47
"Japan","JPN",1987,100.22
"Japan","JPN",1988,96.29
"Japan","JPN",1989,97.14
"Japan","JPN",1990,93.38
"Japan","JPN",1991,88.55
"Japan","JPN",1992,88.6
"Japan","JPN",1993,93.68
"Japan","JPN",1994,91.35
"Japan","JPN",1995,83.76
"Japan","JPN",1996,81.97
"Japan","JPN",1997,80.05
"Japan","JPN",1998,77.64
"Japan","JPN",1999,78.83
"Japan","JPN",2000,80.73
"Japan","JPN",2001,80.78
"Japan","JPN",2002,79.48
"Japan","JPN",2003,83.37
"Japan","JPN",2004,80.54
"Japan","JPN",2005,80.3
"Japan","JPN",2006,77.68
"Japan","JPN",2007,82.38
"Japan","JPN",2008,62.21
"Japan","JPN",2009,60.75
"Japan","JPN",2010,71.31
"Japan","JPN",2011,67.88
"Japan","JPN",2012,69.75
"Japan","JPN",2013,64.7
"Japan","JPN",2014,70.08
"Japan","JPN",2015,63.9
"Japan","JPN",2016,68.03
"Japan","JPN",2017,69.4
"Japan","JPN",2018,66.86
"Japan","JPN",2019,65.03
"Japan","JPN",2020,64.94
"Japan","JPN",2021,64.2
"Japan","JPN",2022,62.45
"Japan","JPN",2023,62.85
"South Korea","KOR",1961,103.51
"South Korea","KOR",1962,96.95
"South Korea","KOR",1963,95.82
"South Korea","KOR",1964,79.79
"South Korea","KOR",1965,89.17
"South Korea","KOR",1966,104.53
"South Korea","KOR",1967,120.05
"South Korea","KOR",1968,123.29
"South Korea","KOR",1969,138.52
"South Korea","KOR",1970,154.72
"South Korea","KOR",1971,152.88
"South Korea","KOR",1972,166.18
"South Korea","KOR",1973,183.51
"South Korea","KOR",1974,199.9
"South Korea","KOR",1975,208.78
"South Korea","KOR",1976,161.43
"South Korea","KOR",1977,173.86
"South Korea","KOR",1978,207.75
"South Korea","KOR",1979,201.13
"South Korea","KOR",1980,203.65
"South Korea","KOR",1981,197.37
"South Korea","KOR",1982,141.56
"South Korea","KOR",1983,169.54
"South Korea","KOR",1984,186.62
"South Korea","KOR",1985,198.74
"South Korea","KOR",1986,203.36
"South Korea","KOR",1987,209.47
"South Korea","KOR",1988,215.2
"South Korea","KOR",1989,237.77
"South Korea","KOR",1990,239.64
"South Korea","KOR",1991,226.45
"South Korea","KOR",1992,235.07
"South Korea","KOR",1993,232.26
"South Korea","KOR",1994,233.64
"South Korea","KOR",1995,240.82
"South Korea","KOR",1996,234.4
"South Korea","KOR",1997,263.51
"South Korea","KOR",1998,236.13
"South Korea","KOR",1999,225.54
"South Korea","KOR",2000,214.56
"South Korea","KOR",2001,198.28
"South Korea","KOR",2002,191.08
"South Korea","KOR",2003,195.54
"South Korea","KOR",2004,210.2
"South Korea","KOR",2005,228.78
"South Korea","KOR",2006,170.51
"South Korea","KOR",2007,194.94
"South Korea","KOR",2008,162.88
"South Korea","KOR",2009,130.1
"South Korea","KOR",2010,125.56
"South Korea","KOR",2011,130.38
"South Korea","KOR",2012,134.14
"South Korea","KOR",2013,130.89
"South Korea","KOR",2014,130.73
"South Korea","KOR",2015,126.33
"South Korea","KOR",2016,130.53
"South Korea","KOR",2017,129.26
"South Korea","KOR",2018,135.43
"South Korea","KOR",2019,133.89
"South Korea","KOR",2020,146.49
"South Korea","KOR",2021,137.19
"South Korea","KOR",2022,158.56
"South Korea","KOR",2023,139.82
"United States","USA",1961,12.96
"United States","USA",1962,15.18
"United States","USA",1963,16.85
"United States","USA",1964,18.34
"United States","USA",1965,20.69
"United States","USA",1966,23.69
"United States","USA",1967,26.91
"United States","USA",1968,27.4
"United States","USA",1969,27.71
"United States","USA",1970,30.14
"United States","USA",1971,30.8
"United States","USA",1972,31.46
"United States","USA",1973,34.11
"United States","USA",1974,33.87
"United States","USA",1975,37.84
"United States","USA",1976,40.76
"United States","USA",1977,39.25
"United States","USA",1978,39.84
"United States","USA",1979,42.56
"United States","USA",1980,44.75
"United States","USA",1981,43
"United States","USA",1982,37.24
"United States","USA",1983,39.93
"United States","USA",1984,43.44
"United States","USA",1985,41.21
"United States","USA",1986,39.31
"United States","USA",1987,40.24
"United States","USA",1988,40.84
"United States","USA",1989,42.19
"United States","USA",1990,43.35
"United States","USA",1991,44.04
"United States","USA",1992,44.48
"United States","USA",1993,47.99
"United States","USA",1994,47.39
"United States","USA",1995,47.73
"United States","USA",1996,49.38
"United States","USA",1997,49.67
"United States","USA",1998,50.22
"United States","USA",1999,50.43
"United States","USA",2000,48.09
"United States","USA",2001,48.3
"United States","USA",2002,49.95
"United States","USA",2003,54.51
"United States","USA",2004,52.29
"United States","USA",2005,51.73
"United States","USA",2006,57.43
"United States","USA",2007,55.43
"United States","USA",2008,50.99
"United States","USA",2009,54.88
"United States","USA",2010,57.97
"United States","USA",2011,61.52
"United States","USA",2012,62.14
"United States","USA",2013,60.97
"United States","USA",2014,59.46
"United States","USA",2015,59.39
"United States","USA",2016,58.26
"United States","USA",2017,57.75
