"entity","code","year","nitrogen_kg_ha","t"
"World","OWID_WRL",1961,7.59,0
"World","OWID_WRL",1962,8.54,1
"World","OWID_WRL",1963,9.64,2
"World","OWID_WRL",1964,10.86,3
"World","OWID_WRL",1965,12.53,4
"World","OWID_WRL",1966,14.65,5
"World","OWID_WRL",1967,15.94,6
"World","OWID_WRL",1968,17.33,7
"World","OWID_WRL",1969,18.67,8
"World","OWID_WRL",1970,20.9,9
"World","OWID_WRL",1971,22.33,10
"World","OWID_WRL",1972,23.94,11
"World","OWID_WRL",1973,25.82,12
"World","OWID_WRL",1974,25.51,13
"World","OWID_WRL",1975,29.12,14
"World","OWID_WRL",1976,29.75,15
"World","OWID_WRL",1977,32.49,16
"World","OWID_WRL",1978,35.5,17
"World","OWID_WRL",1979,37.28,18
"World","OWID_WRL",1980,39.63,19
"World","OWID_WRL",1981,39.67,20
"World","OWID_WRL",1982,40.19,21
"World","OWID_WRL",1983,43.21,22
"World","OWID_WRL",1984,45.43,23
"World","OWID_WRL",1985,45.02,24
"World","OWID_WRL",1986,46.17,25
"World","OWID_WRL",1987,48.24,26
"World","OWID_WRL",1988,50.78,27
"World","OWID_WRL",1989,50.18,28
"World","OWID_WRL",1990,49.27,29
"World","OWID_WRL",1991,48.11,30
"World","OWID_WRL",1992,47.32,31
"World","OWID_WRL",1993,45.97,32
"World","OWID_WRL",1994,46.24,33
"World","OWID_WRL",1995,49.93,34
"World","OWID_WRL",1996,52.9,35
"World","OWID_WRL",1997,51.48,36
"World","OWID_WRL",1998,52.41,37
"World","OWID_WRL",1999,53.71,38
"World","OWID_WRL",2000,51.29,39
"World","OWID_WRL",2001,51.87,40
"World","OWID_WRL",2002,53.49,41
"World","OWID_WRL",2003,54.96,42
"World","OWID_WRL",2004,56.39,43
"World","OWID_WRL",2005,56.65,44
"World","OWID_WRL",2006,58.53,45
"World","OWID_WRL",2007,60.59,46
"World","OWID_WRL",2008,59.67,47
"World","OWID_WRL",2009,61,48
"World","OWID_WRL",2010,63.41,49
"World","OWID_WRL",2011,65.22,50
"World","OWID_WRL",2012,64.89,51
"World","OWID_WRL",2013,65.82,52
"World","OWID_WRL",2014,66.31,53
"World","OWID_WRL",2015,65.23,54
"World","OWID_WRL",2016,65.87,55
"World","OWID_WRL",2017,67.05,56
"World","OWID_WRL",2018,66.1,57
"World","OWID_WRL",2019,65.95,58
"World","OWID_WRL",2020,69.66,59
"World","OWID_WRL",2021,68.6,60
"World","OWID_WRL",2022,66.34,61
"World","OWID_WRL",2023,67.72,62
