"entity","code","first_year","last_year","observations"
"Afghanistan","AFG",1961,2023,61
"Africa (FAO)","",1961,2023,63
"Albania","ALB",1961,2023,63
"Algeria","DZA",1961,2023,63
"Americas (FAO)","",1961,2023,63
"Angola","AGO",1961,2023,62
"Antigua and Barbuda","ATG",2002,2023,22
"Argentina","ARG",1961,2023,63
"Armenia","ARM",1992,2023,32
"Aruba","ABW",2002,2023,22
"Asia (FAO)","",1961,2023,63
"Australia","AUS",1961,2023,63
"Australia and New Zealand (FAO)","",1961,2023,63
"Austria","AUT",1961,2023,63
"Azerbaijan","AZE",1992,2023,32
"Bahamas","BHS",1966,2021,45
"Bahrain","BHR",1972,2022,48
"Bangladesh","BGD",1961,2023,63
"Barbados","BRB",1961,2023,63
"Belarus","BLR",1992,2023,32
"Belgium","BEL",2002,2023,22
"Belgium-Luxembourg (FAO)","",1961,1999,39
"Belize","BLZ",1961,2023,63
"Benin","BEN",1961,2023,63
"Bermuda","BMU",1985,2023,25
"Bhutan","BTN",1974,2023,46
"Bolivia","BOL",1961,2023,63
"Bosnia and Herzegovina","BIH",1995,2023,29
"Botswana","BWA",1961,2023,56
"Brazil","BRA",1961,2023,63
"Brunei","BRN",1980,2023,32
"Bulgaria","BGR",1961,2023,63
"Burkina Faso","BFA",1969,2023,55
"Burundi","BDI",1966,2023,58
"Cambodia","KHM",1961,2023,52
"Cameroon","CMR",1961,2023,63
"Canada","CAN",1961,2023,63
"Cape Verde","CPV",1973,2023,38
"Caribbean (FAO)","",1961,2023,63
"Central African Republic","CAF",1961,2023,63
"Central America (FAO)","",1961,2023,63
"Central Asia (FAO)","",1992,2023,32
"Chad","TCD",1961,2023,62
"Chile","CHL",1961,2023,63
"China","CHN",1961,2023,63
"China (FAO)","",1961,2023,63
"Colombia","COL",1961,2023,63
"Comoros","COM",1991,2023,33
"Congo","COG",1961,2023,58
"Cook Islands","COK",2002,2023,22
"Costa Rica","CRI",1961,2023,63
"Cote d'Ivoire","CIV",1961,2023,63
"Croatia","HRV",1992,2023,32
"Cuba","CUB",1961,2023,63
"Cyprus","CYP",1961,2023,63
"Czechia","CZE",1993,2023,31
"Czechoslovakia","OWID_CZS",1961,1992,32
"Democratic Republic of Congo","COD",1961,2023,61
"Denmark","DNK",1961,2023,63
"Djibouti","DJI",1976,2023,30
"Dominica","DMA",1976,2023,48
"Dominican Republic","DOM",1961,2023,63
"Eastern Africa (FAO)","",1961,2023,63
"Eastern Asia (FAO)","",1961,2023,63
"Eastern Europe (FAO)","",1961,2023,63
"Ecuador","ECU",1961,2023,63
