"country","observations","start_year","start_kg_ha","end_year","end_kg_ha","peak_year","peak_kg_ha"
"Australia",63,1961,2.17,2023,61.68,2023,61.68
"France",63,1961,26.27,2023,87.04,1989,126.48
"Japan",63,1961,84.31,2023,62.85,1973,116.34
"South Korea",63,1961,103.51,2023,139.82,1997,263.51
"United States",63,1961,12.96,2023,59.08,2012,62.14
"Brazil",63,1961,1.58,2023,90.92,2022,96.18
"China",63,1961,5.21,2023,192.39,2014,235.38
"India",63,1961,1.55,2023,121.53,2023,121.53
"Nigeria",63,1961,0.01,2023,1.99,2020,13.55
"Pakistan",63,1961,1.36,2023,122.88,2023,122.88
